,"Carbon_source,  Flux_value"
EX_glc__D_e,1.0240673146163175
EX_h2o_e,0.0
EX_14glucan_e,6.105016683289559
EX_h_e,0.0
EX_2hxmp_e,0.0
EX_2pglyc_e,0.0
EX_34dhbz_e,0.0
EX_34dhcinm_e,0.0
EX_leu__L_e,0.0
EX_3hoxpac_e,0.0
EX_3mb_e,0.0
EX_LalaDgluMdap_e,0.0
EX_4hbz_e,0.0
EX_4hoxpacd_e,0.0
EX_ala__L_e,0.0
EX_4hthr_e,0.0
EX_cl_e,0.0
EX_LalaDgluMdapDala_e,0.0
EX_5mtr_e,0.0
EX_dextrin_e,2.0382878281305494
EX_arab__L_e,0.8435426277448472
EX_4abut_e,0.0
EX_acac_e,0.0
EX_acald_e,0.0
EX_acgam1p_e,0.0
EX_acgam_e,0.0
EX_ac_e,0.0
EX_chol_e,0.0
EX_acmana_e,0.0
EX_acmum_e,0.0
EX_pi_e,0.0
EX_acser_e,0.0
EX_actn__R_e,0.0
EX_adn_e,1.07402486593016
EX_nh4_e,0.0
EX_ade_e,0.0
EX_agm_e,0.0
EX_mal__L_e,0.0
EX_alaala_e,0.0
EX_asn__L_e,0.0
EX_cys__L_e,0.0
EX_ala__D_e,0.0
EX_gln__L_e,0.0
EX_gly_e,0.0
EX_ser__L_e,0.0
EX_thr__L_e,0.0
EX_arg__L_e,0.0
EX_alltn_e,0.0
EX_cgly_e,0.0
EX_malt_e,2.048134629232639
EX_malttr_e,3.032814739440623
EX_anhgm_e,0.0
EX_arab__D_e,0.8435426277448492
EX_fe3_e,0.0
EX_lys__L_e,0.0
EX_orn_e,0.0
EX_asp__L_e,0.0
EX_phe__L_e,0.0
EX_aso3_e,0.0
EX_aso4_e,0.0
EX_k_e,0.0
EX_pro__L_e,0.0
EX_meoh_e,0.0
EX_butso3_e,0.0
EX_but_e,0.0
EX_bz_e,0.0
EX_ca2_e,0.0
EX_15dap_e,0.0
EX_chols_e,0.0
EX_chtbs_e,0.0
EX_cit_e,0.0
EX_mg2_e,0.0
EX_mn2_e,0.0
EX_cobalt2_e,0.0
EX_zn2_e,0.0
EX_succ_e,0.0
EX_for_e,0.0
EX_lipa_cold_e,0.0
EX_oxa_e,0.0
EX_co2_e,0.0
EX_colipa_e,0.0
EX_crn_e,0.0
EX_cu2_e,0.0
EX_cynt_e,0.0
EX_o2_e,0.0
EX_glu__L_e,0.0
EX_cytd_e,0.8568446843950508
EX_diact_e,0.0
EX_dad_2_e,0.0
EX_dca_e,0.0
EX_dcyt_e,0.0
EX_ddca_e,0.0
EX_2ddglcn_e,0.0
EX_lac__D_e,0.0
EX_dms_e,0.0
EX_dmso_e,0.0
EX_drib_e,0.0
EX_ser__D_e,0.0
EX_dtmp_e,0.0
EX_duri_e,0.0
EX_galur_e,0.0
EX_hdca_e,0.0
EX_hdcea_e,0.0
EX_ocdca_e,0.0
EX_ocdcea_e,0.0
EX_ttdca_e,0.0
EX_etha_e,0.0
EX_etoh_e,0.0
EX_h2_e,0.0
EX_fald_e,0.0
EX_fe2_e,0.0
EX_fe3dcit_e,0.0
EX_fe3dhbzs_e,0.0
EX_fe3hox_e,0.0
EX_fe3hox_un_e,0.0
EX_fecrm_e,0.0
EX_fecrm_un_e,0.0
EX_enter_e,0.0
EX_feenter_e,0.0
EX_feoxam_e,0.0
EX_feoxam_un_e,0.0
EX_fer_e,0.0
EX_frmd_e,0.0
EX_fol_e,0.0
EX_fru_e,1.0240673146163166
EX_fruur_e,0.0
EX_fuc__L_e,0.0
EX_fum_e,0.0
EX_g3pc_e,0.0
EX_g3pe_e,0.0
EX_g3pg_e,0.0
EX_g3pi_e,0.0
EX_g3ps_e,0.0
EX_gal_e,1.0142205135142368
EX_gal_bD_e,1.0142205135142368
EX_galctn__D_e,0.0
EX_galctr__D_e,0.0
EX_galct__D_e,0.0
EX_galt_e,0.0
EX_gam_e,0.0
EX_gthrd_e,0.0
EX_glcn_e,0.0
EX_glcr_e,0.0
EX_glcur_e,0.0
EX_glyc3p_e,0.0
EX_glyb_e,0.0
EX_glyc2p_e,0.0
EX_glyclt_e,0.0
EX_glyc_e,0.0
EX_gthox_e,0.0
EX_h2o2_e,0.0
EX_gua_e,0.0
EX_h2s_e,0.0
EX_pheme_e,0.0
EX_hexs_e,0.0
EX_his__L_e,0.0
EX_hom__L_e,0.0
EX_4hphac_e,0.0
EX_hxan_e,0.0
EX_hxa_e,0.0
EX_taur_e,0.0
EX_ile__L_e,0.0
EX_indole_e,0.0
EX_inost_e,0.0
EX_kdo2lipid4_e,0.0
EX_Larab_e,2.530627883234556
EX_lcts_e,2.0087474248243207
EX_LalaDglu_e,0.0
EX_LalaLglu_e,0.0
EX_lipa_e,0.0
EX_lac__L_e,0.0
EX_mal__D_e,0.0
